Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
,,,,,,,,,,,,,,,,
OREGON-II,318,9-Jun-16,22:06:09,1,1,96,29.59,W,26,29.32,N,-96.493167,26.488667,82,80,5.7969
,,,,,,,,,,,,,,,,
OREGON-II,318,9-Jun-16,23:45:30,2,1,96,40.85,W,26,21.42,N,-96.680833,26.357,47,47,5.0604
,,,,,,,,,,,,,,,,
OREGON-II,318,10-Jun-16,2:10:52,3,1,96,30.15,W,26,18.62,N,-96.5025,26.310333,64.6,63,5.97383
,,,,,,,,,,,,,,,,
OREGON-II,318,10-Jun-16,3:47:29,4,1,96,24.96,W,26,14.17,N,-96.416,26.236167,72.4,71,6.314
,,,,,,,,,,,,,,,,
OREGON-II,318,10-Jun-16,5:40:49,5,1,96,24.58,W,26,7.93,N,-96.409667,26.132167,74.9,76,6.3036
,,,,,,,,,,,,,,,,
OREGON-II,318,10-Jun-16,6:58:12,6,1,96,25.41,W,26,4.37,N,-96.4235,26.072833,73.6,72,6.2453
,,,,,,,,,,,,,,,,
OREGON-II,318,10-Jun-16,9:23:53,7,1,96,30.17,W,26,3.03,N,-96.502833,26.0505,61.5,57,6.1251
,,,,,,,,,,,,,,,,
OREGON-II,318,10-Jun-16,12:15:26,8,1,96,30.25,W,26,12.37,N,-96.504167,26.206167,62.9,59,6.154
,,,,,,,,,,,,,,,,
OREGON-II,318,10-Jun-16,14:51:08,9,1,96,41.52,W,26,11.85,N,-96.692,26.1975,46.8,44,5.1753
,,,,,,,,,,,,,,,,
OREGON-II,318,10-Jun-16,18:25:33,10,1,97,0.41,W,25,59.46,N,-97.006833,25.991,27,26,3.7404
