Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
,,,,,,,,,,,,,,,,
OREGON-II,318,12-Jun-16,10:14:09,26,1,97,1.45,W,27,24.34,N,-97.024167,27.405667,30.2,30,3.09732
,,,,,,,,,,,,,,,,
OREGON-II,318,12-Jun-16,12:37:17,27,1,97,3.71,W,27,24.03,N,-97.061833,27.4005,28.7,27,2.66792
,,,,,,,,,,,,,,,,
OREGON-II,318,12-Jun-16,15:16:00,28,1,96,59.42,W,27,30.5,N,-96.990333,27.508333,28.8,26,2.69373
,,,,,,,,,,,,,,,,
OREGON-II,318,12-Jun-16,18:41:48,29,1,96,28.85,W,27,23.15,N,-96.480833,27.385833,88.4,90,4.72642
,,,,,,,,,,,,,,,,
OREGON-II,318,12-Jun-16,21:56:43,30,1,96,29.76,W,27,29.09,N,-96.496,27.484833,76.3,75,4.80997
,,,,,,,,,,,,,,,,
OREGON-II,318,13-Jun-16,1:08:09,31,1,96,53.41,W,27,41.43,N,-96.890167,27.6905,26.1,25,2.52182
,,,,,,,,,,,,,,,,
OREGON-II,318,13-Jun-16,4:06:36,32,1,96,53.06,W,27,55.6,N,-96.884333,27.926667,15.4,15,1.06915
,,,,,,,,,,,,,,,,
OREGON-II,318,13-Jun-16,5:21:05,32,2,96,51.32,W,27,55.01,N,-96.855333,27.916833,18.7,16,1.06422
,,,,,,,,,,,,,,,,
OREGON-II,318,13-Jun-16,6:13:37,33,1,96,49.46,W,27,55.95,N,-96.824333,27.9325,17.9,16,0.93366
,,,,,,,,,,,,,,,,
OREGON-II,318,13-Jun-16,7:48:09,34,1,96,42.63,W,27,57.06,N,-96.7105,27.951,21.7,21,0.8365
,,,,,,,,,,,,,,,,
OREGON-II,318,13-Jun-16,10:36:45,35,1,96,30.21,W,28,0.15,N,-96.5035,28.0025,27.3,27,2.3864
,,,,,,,,,,,,,,,,
OREGON-II,318,13-Jun-16,12:03:22,36,1,96,27.07,W,27,53.76,N,-96.451167,27.896,37.8,36,3.3662
,,,,,,,,,,,,,,,,
OREGON-II,318,13-Jun-16,14:40:57,37,1,96,15.3,W,28,1.08,N,-96.255,28.018,35.5,34,5.0242
