"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,14JUN2016,11:50:07,046,01,096,04.13,W,28,17.81,N,-096.068833,28.296833,23.7,22.000,2.5727
"OREGON-II",0318,14JUN2016,16:01:04,047,01,096,18.87,W,28,16.90,N,-096.314500,28.281667,20.8,20.000,2.2047
"OREGON-II",0318,14JUN2016,18:04:50,048,01,096,06.84,W,28,26.79,N,-096.114000,28.446500,15.8,15.000,1.7694
"OREGON-II",0318,14JUN2016,20:13:35,049,01,095,59.23,W,28,27.87,N,-095.987167,28.464500,17.6,17.000,2.6466
"OREGON-II",0318,14JUN2016,22:18:39,050,01,095,43.61,W,28,37.34,N,-095.726833,28.622333,14.2,11.000,1.9056
"OREGON-II",0318,15JUN2016,01:22:25,051,01,095,29.90,W,28,44.15,N,-095.498333,28.735833,13.2,11.000,4.0753
"OREGON-II",0318,15JUN2016,03:18:02,052,01,095,18.39,W,28,36.31,N,-095.306500,28.605167,26.0,24.000,2.5536
"OREGON-II",0318,15JUN2016,06:52:11,053,01,095,37.68,W,28,33.42,N,-095.628000,28.557000,20.3,20.000,0.9423
"OREGON-II",0318,15JUN2016,09:15:48,054,01,095,29.50,W,28,27.71,N,-095.491667,28.461833,28.9,28.000,3.1392
"OREGON-II",0318,15JUN2016,10:09:59,055,01,095,23.06,W,28,27.35,N,-095.384333,28.455833,31.3,28.000,3.7972
"OREGON-II",0318,15JUN2016,13:49:28,056,01,095,40.30,W,28,23.50,N,-095.671667,28.391667,27.4,27.000,3.1489
