Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,30JUN2016,17:40:04,183,01,091,38.19,W,28,44.98,N,-091.636500,28.749667,26.5,25.000,4.0129
"OREGON-II",0318,30JUN2016,19:16:59,184,01,091,37.93,W,28,41.53,N,-091.632167,28.692167,29.7,28.000,4.0998
"OREGON-II",0318,30JUN2016,22:16:35,185,01,091,22.53,W,28,48.04,N,-091.375500,28.800667,16.2,16.000,1.9794
"OREGON-II",0318,01JUL2016,00:55:01,186,01,091,29.70,W,28,36.13,N,-091.495000,28.602167,34.3,34.000,4.7610
"OREGON-II",0318,01JUL2016,03:20:10,187,01,091,29.95,W,28,29.37,N,-091.499167,28.489500,47.8,47.000,5.5737
"OREGON-II",0318,01JUL2016,04:55:10,188,01,091,30.41,W,28,17.07,N,-091.506833,28.284500,72.2,71.000,4.6208
"OREGON-II",0318,01JUL2016,06:46:17,189,01,091,32.55,W,28,15.01,N,-091.542500,28.250167,76.7,74.000,4.0255
"OREGON-II",0318,01JUL2016,09:17:36,190,01,091,39.56,W,28,10.42,N,-091.659333,28.173667,82.1,83.000,3.7421
"OREGON-II",0318,01JUL2016,11:40:39,191,01,091,42.71,W,28,05.56,N,-091.711833,28.092667,97.5,97.000,3.6850
"OREGON-II",0318,01JUL2016,16:45:14,192,01,090,59.71,W,28,08.17,N,-090.995167,28.136167,100.7,100.000,3.8563
"OREGON-II",0318,01JUL2016,19:26:39,193,01,091,00.32,W,28,16.57,N,-091.005333,28.276167,66.5,65.000,3.9429
"OREGON-II",0318,01JUL2016,21:46:07,194,01,091,10.76,W,28,22.63,N,-091.179333,28.377167,54.3,53.000,4.7368
