Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
,,,,,,,,,,,,,,,,
OREGON-II,318,10-Jun-16,20:56:53,11,1,97,1.26,W,26,13.76,N,-97.021,26.229333,25.9,24,4.74336
,,,,,,,,,,,,,,,,
OREGON-II,318,10-Jun-16,23:16:40,12,1,96,56.59,W,26,20.58,N,-96.943167,26.343,36.4,36,3.3349
,,,,,,,,,,,,,,,,
OREGON-II,318,11-Jun-16,1:57:41,13,1,97,9.48,W,26,21.96,N,-97.158,26.366,17.5,16,6.6011
,,,,,,,,,,,,,,,,
OREGON-II,318,11-Jun-16,4:09:37,14,1,97,8.03,W,26,29.56,N,-97.133833,26.492667,20,20,5.4767
,,,,,,,,,,,,,,,,
OREGON-II,318,11-Jun-16,5:42:56,15,1,97,4.93,W,26,27.79,N,-97.082167,26.463167,22.4,20,5.7065
,,,,,,,,,,,,,,,,
OREGON-II,318,11-Jun-16,7:53:25,16,1,97,0.26,W,26,29.78,N,-97.004333,26.496333,34.4,32,3.2326
,,,,,,,,,,,,,,,,
OREGON-II,318,11-Jun-16,11:48:03,17,1,96,34.5,W,26,50.98,N,-96.575,26.849667,105.9,103,4.8624
,,,,,,,,,,,,,,,,
OREGON-II,318,11-Jun-16,15:06:52,18,1,96,43.62,W,26,52.74,N,-96.727,26.879,78.7,76,5.1939
