"Ship",Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,"LongHem",LatDeg,LatMin,"LatHem",Longitude,Latitude,WaterDepthM,SampleDepthM,OxMgL
"OREGON-II",0318,15JUN2016,15:40:11,057,01,095,34.37,W,28,23.23,N,-095.572833,28.387167,28.4,26.000,4.66447
"OREGON-II",0318,15JUN2016,18:20:59,058,01,095,28.42,W,28,09.13,N,-095.473667,28.152167,45.8,45.000,4.14021
"OREGON-II",0318,15JUN2016,19:56:57,059,01,095,27.99,W,28,05.46,N,-095.466500,28.091000,49.5,48.000,4.44172
"OREGON-II",0318,15JUN2016,22:06:52,060,01,095,29.21,W,28,00.21,N,-095.486833,28.003500,55.0,56.000,4.76303
"OREGON-II",0318,15JUN2016,23:08:05,061,01,095,21.64,W,27,58.60,N,-095.360667,27.976667,62.5,63.000,4.91929
"OREGON-II",0318,16JUN2016,00:14:13,062,01,095,20.07,W,27,56.15,N,-095.334500,27.935833,75.0,77.000,5.0690
"OREGON-II",0318,16JUN2016,02:49:51,063,01,095,12.82,W,27,55.75,N,-095.213667,27.929167,87.2,84.000,5.4928
"OREGON-II",0318,16JUN2016,05:16:47,064,01,095,04.26,W,27,57.43,N,-095.071000,27.957167,88.7,86.000,5.2938
"OREGON-II",0318,16JUN2016,08:25:34,065,01,095,00.21,W,27,59.99,N,-095.003500,27.999833,81.2,78.000,5.1310
"OREGON-II",0318,16JUN2016,09:46:39,066,01,095,02.87,W,28,07.58,N,-095.047833,28.126333,54.6,54.000,5.2095
"OREGON-II",0318,16JUN2016,11:35:35,067,01,095,05.92,W,28,11.14,N,-095.098667,28.185667,48.7,46.000,5.3563
"OREGON-II",0318,16JUN2016,13:25:34,068,01,095,01.65,W,28,15.73,N,-095.027500,28.262167,46.3,45.000,5.1325
"OREGON-II",0318,16JUN2016,14:53:03,069,01,094,56.41,W,28,14.76,N,-094.940167,28.246000,49.1,46.000,4.8011
